Description,Price,Rating,Review Count,Url
"Honeycomb Wired Gaming Mouse, RGB Backlight and 7200 Adjustable DPI, Ergonomic and Lightweight USB Computer Mouse with High Precision Sensor for Windows PC & Laptop Gamers",$14.99,4.5 out of 5 stars,(798),https://www.amazon.com/Honeycomb-Backlight-Adjustable-Ergonomic-Lightweight/dp/B0BJPG89DQ/ref=sr_1_29?keywords=gaming+mouse&qid=1673328835&sr=8-29
"Razer Basilisk Ultimate Hyperspeed Wireless Gaming Mouse: Fastest Gaming Mouse Switch, 20K DPI Optical Sensor, Chroma RGB Lighting, 11 Programmable Buttons, 100 Hr Battery, Classic Black",$72.68,4.6 out of 5 stars,"(8,139)",https://www.amazon.com/Razer-Basilisk-Ultimate-HyperSpeed-Wireless/dp/B08564NLZG/ref=sr_1_30?keywords=gaming+mouse&qid=1673328835&sr=8-30
Razer Basilisk V3 Pro Customizable Wireless Gaming Mouse: Fast Optical Switches Gen-3 - HyperScroll Tilt Wheel - Chroma RGB - 11 Programmable Buttons - Focus Pro 30K Optical Sensor - Classic Black,$159.99,4.3 out of 5 stars,(107),https://www.amazon.com/Razer-Basilisk-Customizable-Wireless-Gaming/dp/B0B6Y3XYFG/ref=sr_1_31?keywords=gaming+mouse&qid=1673328835&sr=8-31
"Corsair Nightsword RGB - Comfort Performance Tunable FPS/MOBA Optical Ergonomic Gaming Mouse with Backlit RGB LED, 18000 DPI, Black",$69.99,4.6 out of 5 stars,"(5,089)",https://www.amazon.com/Corsair-Nightsword-Performance-Tunable-Backlit/dp/B07QX9C9WH/ref=sr_1_32?keywords=gaming+mouse&qid=1673328835&sr=8-32
"BENGOO Gaming Mouse Wired, USB Optical Computer Mice with RGB Backlit, 4 Adjustable DPI Up to 3600, Ergonomic Gamer Laptop PC Mouse with 6 Programmable Buttons for Windows 7/8/10/XP Vista Linux -Black",$9.01,4.6 out of 5 stars,"(10,463)",https://www.amazon.com/BENGOO-Changing-Ergonomic-Computer-Adjustable/dp/B00Z9V0NKC/ref=sr_1_33?keywords=gaming+mouse&qid=1673328835&sr=8-33
"Redragon M612 Predator RGB Gaming Mouse, 8000 DPI Wired Optical Gamer Mouse with 11 Programmable Buttons & 5 Backlit Modes, Software Supports DIY Keybinds Rapid Fire Button",$17.99,4.6 out of 5 stars,"(1,462)",https://www.amazon.com/Redragon-M612-Predator-Programmable-Software/dp/B08SJ5Z8JL/ref=sr_1_34?keywords=gaming+mouse&qid=1673328835&sr=8-34
"SteelSeries Rival 5 Gaming Mouse with PrismSync RGB Lighting and 9 Programmable Buttons – FPS, MOBA, MMO, Battle Royale – 18,000 CPI TrueMove Air Optical Sensor - Black",$39.69,4.5 out of 5 stars,"(6,615)",https://www.amazon.com/SteelSeries-PrismSync-Lighting-Programmable-Buttons/dp/B093LSMKL3/ref=sr_1_35?keywords=gaming+mouse&qid=1673328835&sr=8-35
"uhuru Wireless Gaming Mouse Up to 10000 DPI, Rechargeable USB Wireless Mouse with 6 Buttons 7 Changeable LED Color Ergonomic Programmable MMO RPG for PC Laptop, Compatible with Windows Mac",$29.99,4.5 out of 5 stars,"(9,421)",https://www.amazon.com/UHURU-Rechargeable-Changeable-Ergonomic-Programmable/dp/B071HVWD55/ref=sr_1_36?keywords=gaming+mouse&qid=1673328835&sr=8-36
Logitech G Pro Wireless Gaming Mouse with Esports Grade Performance,$89.85,4.7 out of 5 stars,"(12,177)",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A100739634D05RDYEORIE&qualifier=1673328835&id=6797513583822533&widgetName=sp_btf&url=%2FLogitech-Wireless-Gaming-Esports-Performance%2Fdp%2FB07GCKQD77%2Fref%3Dsr_1_37_sspa%3Fkeywords%3Dgaming%2Bmouse%26qid%3D1673328835%26sr%3D8-37-spons%26psc%3D1
"Redragon M811 Aatrox MMO Gaming Mouse, 15 Programmable Buttons Wired RGB Gamer Mouse w/ Ergonomic Natural Grip Build, 10 Side Macro Keys, Software Supports DIY Keybinds & Backlit",$34.99,3.9 out of 5 stars,(106),https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A06067093C3JY4ML24V47&qualifier=1673328835&id=6797513583822533&widgetName=sp_btf&url=%2FRedragon-M811-Programmable-Ergonomic-Software%2Fdp%2FB0B3J9WSJQ%2Fref%3Dsr_1_38_sspa%3Fkeywords%3Dgaming%2Bmouse%26qid%3D1673328835%26sr%3D8-38-spons%26psc%3D1
"Honeycomb Wired Gaming Mouse, RGB Backlight and 7200 Adjustable DPI, Ergonomic and Lightweight USB Computer Mouse with High Precision Sensor for Windows PC & Laptop Gamers",$14.99,4.5 out of 5 stars,(798),https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A0983900SA23PMVD9TP6&qualifier=1673328837&id=751351008042238&widgetName=sp_atf_next&url=%2FHoneycomb-Backlight-Adjustable-Ergonomic-Lightweight%2Fdp%2FB0BJPG89DQ%2Fref%3Dsr_1_33_sspa%3Fkeywords%3Dgaming%2Bmouse%26qid%3D1673328837%26sr%3D8-33-spons%26psc%3D1
"BOMENYA Ergonomic Mouse, Vertical Wireless Computer Mouse 2.4G with Portable, Cordless, Silent Ergonomic Mouse USB Rechargeable, 3 Adjustable DPI, 6 Buttons-Optical for PC Desktop MacBook",$19.99,4.2 out of 5 stars,(439),https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A08602382AUPZZFLTQ3KM&qualifier=1673328837&id=751351008042238&widgetName=sp_atf_next&url=%2FErgonomic-BOMENYA-Rechargeable-Adjustable-Buttons-Optical%2Fdp%2FB09QRH1NMG%2Fref%3Dsr_1_34_sspa%3Fkeywords%3Dgaming%2Bmouse%26qid%3D1673328837%26sr%3D8-34-spons%26psc%3D1
"VersionTECH. Wireless Gaming Mouse, Rechargeable Computer Mouse Mice with Colorful LED Lights, Silent Click, 2.4G USB Nano Receiver, 3 Level DPI for PC Gamer Laptop Desktop Chromebook Mac -Black",$15.99,4.4 out of 5 stars,"(2,689)",https://www.amazon.com/VersionTECH-Wireless-Rechargeable-Computer-Chromebook/dp/B092QXSVSB/ref=sr_1_35?keywords=gaming+mouse&qid=1673328837&sr=8-35
"Corsair Scimitar RGB Elite, MOBA/MMO Gaming Mouse, Black, Backlit RGB LED, 18000 DPI, Optical",$59.99,4.5 out of 5 stars,"(6,073)",https://www.amazon.com/Corsair-Scimitar-Gaming-Backlit-Optical/dp/B082LRMY53/ref=sr_1_36?keywords=gaming+mouse&qid=1673328837&sr=8-36
"Redragon M810 Pro Wireless Gaming Mouse, 10000 DPI Wired/Wireless Gamer Mouse w/ Rapid Fire Key, 8 Macro Buttons, 45-Hour Durable Power Capacity and RGB Backlit for PC/Mac/Laptop",$34.99,4.5 out of 5 stars,(166),https://www.amazon.com/Redragon-M810-Wireless-Buttons-Capacity/dp/B09ZY348SY/ref=sr_1_37?keywords=gaming+mouse&qid=1673328837&sr=8-37
Razer Naga X Wired MMO Gaming Mouse: 18K DPI Optical Sensor - 2nd-gen Optical Switch - Chroma RGB Lighting - 16 Programmable Buttons - 85g - Classic Black,$49.00,4.5 out of 5 stars,"(18,780)",https://www.amazon.com/Razer-Naga-Wired-Gaming-Mouse/dp/B08QVNG4BM/ref=sr_1_38?keywords=gaming+mouse&qid=1673328837&sr=8-38
"Pauroty Gaming Mouse RGB Wired, Ergonomic PC Gaming Mice with Chroma RGB Backlit, 8000DPI Adjustable, 8 Programmable Buttons&Fire Button, Plug & Play USB Computer Mouse for Windows Mac PC Gamer",$10.99,4.5 out of 5 stars,(118),https://www.amazon.com/Pauroty-Ergonomic-Adjustable-Programmable-Computer/dp/B09NCWP9HH/ref=sr_1_39?keywords=gaming+mouse&qid=1673328837&sr=8-39
"Logitech G502 Hero K/DA High Performance Gaming Mouse - Hero 25K Sensor, 16.8 Million Color LIGHTSYNC RGB, 11 Programmable Buttons, On-Board Memory - Official League of Legends KDA Gaming Gear",$59.00,4.8 out of 5 stars,(684),https://www.amazon.com/Logitech-Performance-Gaming-Mouse-Board/dp/B08L9SKHFY/ref=sr_1_40?keywords=gaming+mouse&qid=1673328837&sr=8-40
"TECKNET RGB Wired Gaming Mouse with 11 Backlit Modes, 8-Level 16,000 DPI Adjustable, PC Gaming Mice with 9 Programmable Buttons, Ergonomic LED Backlit Computer USB Mouse for Laptop/PC/Windows/Gamer",$9.99,4.5 out of 5 stars,(327),https://www.amazon.com/TECKNET-Adjustable-Programmable-Ergonomic-Computer/dp/B09NZYL2RN/ref=sr_1_41?keywords=gaming+mouse&qid=1673328837&sr=8-41
"Logitech G502 Lightspeed Wireless Gaming Mouse with Hero 25K Sensor, PowerPlay Compatible, Tunable Weights and Lightsync RGB - Black",$89.99,4.7 out of 5 stars,"(10,240)",https://www.amazon.com/Logitech-Lightspeed-PowerPlay-Compatible-Lightsync/dp/B07L4BM851/ref=sr_1_42?keywords=gaming+mouse&qid=1673328837&sr=8-42
"LTC Mosh Pit 16,000 DPI RGB Wireless Ambidextrous Gaming Mouse with Lightweight Honeycomb Shell, Ergonomic Shape for Right or Left Hand Use, Comfortable 2.4G Mice for PC/Mac/Laptop, White",$49.99,4.3 out of 5 stars,(257),https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A05080673HYN7FU98D2UB&qualifier=1673328837&id=751351008042238&widgetName=sp_mtf&url=%2FLTC-Ambidextrous-Lightweight-Honeycomb-Comfortable%2Fdp%2FB08CXJ41ZK%2Fref%3Dsr_1_43_sspa%3Fkeywords%3Dgaming%2Bmouse%26qid%3D1673328837%26sr%3D8-43-spons%26psc%3D1
"RedThunder K84 Wireless Keyboard and Mouse Combo, RGB Backlit Rechargeable Battery, 75% Layout 84 Keys TKL Ultra Compact Gaming Keyboard & Lightweight 3200 DPI Honeycomb Optical Mouse (White-Gray)",$54.99,4.0 out of 5 stars,(211),https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A03260666NWSPDRZYZBS&qualifier=1673328837&id=751351008042238&widgetName=sp_mtf&url=%2FRedThunder-Rechargeable-Lightweight-Honeycomb-White-Gray%2Fdp%2FB0B8C9GRWD%2Fref%3Dsr_1_44_sspa%3Fkeywords%3Dgaming%2Bmouse%26qid%3D1673328837%26sr%3D8-44-spons%26psc%3D1
"XVX G705 Wired Gaming Mouse, RGB Backlit PC Gaming Mouse with Adjustable 12000DPI/7 Programmable Buttons, Gamer Computer USB Mouse for Windows Mac Laptop PC, Coral Sea Theme",$25.99,4.6 out of 5 stars,(61),https://www.amazon.com/Backlit-Adjustable-12000DPI-Programmable-Computer/dp/B09Y5KP7XH/ref=sr_1_45?keywords=gaming+mouse&qid=1673328837&sr=8-45
"Logitech G703 Lightspeed Wireless Gaming Mouse W/Hero 25K Sensor, PowerPlay Compatible, Lightsync RGB, Lightweight 95G+10G Optional, 100-25, 600 DPI, Rubber Side Grips - Black",$69.99,4.6 out of 5 stars,"(5,850)",https://www.amazon.com/Logitech-Lightspeed-Lightsync-Compatible-Lightweight/dp/B07NSSPV9S/ref=sr_1_46?keywords=gaming+mouse&qid=1673328837&sr=8-46
